Review Text,Label,Window,User Name,User ID
"It's functional, but I have seen better options.",Neutral,Flipkart,Anjali Kapoor,U0031
Customer service was unhelpful when I tried to return it.,Negative,Amazon,Rahul Mehta,U0032
"Poor quality material, not worth the price.",Negative,Flipkart,Sneha Rani,U0033
"Lightweight and easy to use, definitely worth the price.",Positive,Amazon,Rohit Yadav,U0034
Very comfortable to wear and looks stylish.,Positive,Amazon,Rahul Mehta,U0035
"Average quality, neither too good nor too bad.",Neutral,Flipkart,Priya Sharma,U0036
This phone’s battery lasts all day and the camera quality is stunning!,Positive,Flipkart,Anjali Kapoor,U0037
Excellent build quality and fast performance.,Positive,Flipkart,Rohit Yadav,U0038
"It's functional, but I have seen better options.",Neutral,Flipkart,Sneha Rani,U0039
"Lightweight and easy to use, definitely worth the price.",Positive,Amazon,Vikram Malhotra,U0040
"Lightweight and easy to use, definitely worth the price.",Positive,Flipkart,Anjali Kapoor,U0041
"Average quality, neither too good nor too bad.",Neutral,Flipkart,Rohit Yadav,U0042
The product exceeded my expectations in every way.,Positive,Flipkart,Priya Sharma,U0043
Customer service was unhelpful when I tried to return it.,Negative,Flipkart,Pooja Sethi,U0044
The color is slightly different from the pictures but still fine.,Neutral,Flipkart,Amit Verma,U0045
The color is slightly different from the pictures but still fine.,Neutral,Flipkart,Neha Gupta,U0046
"The product is okay, works as described but nothing exceptional.",Neutral,Flipkart,Anjali Kapoor,U0047
"Packaging was fine, but delivery took longer than expected.",Neutral,Flipkart,Amit Verma,U0048
The product arrived damaged and unusable.,Negative,Flipkart,Karan Singh,U0049
This phone’s battery lasts all day and the camera quality is stunning!,Positive,Flipkart,Amit Verma,U0050
"Packaging was fine, but delivery took longer than expected.",Neutral,Amazon,Karan Singh,U0051
"Lightweight and easy to use, definitely worth the price.",Positive,Amazon,Priya Sharma,U0052
"The product is okay, works as described but nothing exceptional.",Neutral,Amazon,Priya Sharma,U0053
Customer service was unhelpful when I tried to return it.,Negative,Flipkart,Pooja Sethi,U0054
Excellent build quality and fast performance.,Positive,Amazon,Sneha Rani,U0055
Very slow and lags constantly.,Negative,Amazon,Sneha Rani,U0056
The product arrived damaged and unusable.,Negative,Flipkart,Anjali Kapoor,U0057
Excellent build quality and fast performance.,Positive,Flipkart,Vikram Malhotra,U0058
Customer service was unhelpful when I tried to return it.,Negative,Amazon,Amit Verma,U0059
The product exceeded my expectations in every way.,Positive,Flipkart,Pooja Sethi,U0060
The product arrived damaged and unusable.,Negative,Flipkart,Vikram Malhotra,U0061
The product exceeded my expectations in every way.,Positive,Amazon,Priya Sharma,U0062
"It's functional, but I have seen better options.",Neutral,Amazon,Amit Verma,U0063
Customer service was unhelpful when I tried to return it.,Negative,Amazon,Neha Gupta,U0064
"Packaging was fine, but delivery took longer than expected.",Neutral,Flipkart,Vikram Malhotra,U0065
Very comfortable to wear and looks stylish.,Positive,Flipkart,Rohit Yadav,U0066
Very comfortable to wear and looks stylish.,Positive,Amazon,Neha Gupta,U0067
"It's functional, but I have seen better options.",Neutral,Amazon,Sneha Rani,U0068
"Poor quality material, not worth the price.",Negative,Amazon,Neha Gupta,U0069
Customer service was unhelpful when I tried to return it.,Negative,Amazon,Anjali Kapoor,U0070
Very slow and lags constantly.,Negative,Flipkart,Vikram Malhotra,U0071
"Average quality, neither too good nor too bad.",Neutral,Flipkart,Amit Verma,U0072
Customer service was unhelpful when I tried to return it.,Negative,Amazon,Priya Sharma,U0073
The product arrived damaged and unusable.,Negative,Flipkart,Neha Gupta,U0074
The color is slightly different from the pictures but still fine.,Neutral,Amazon,Pooja Sethi,U0075
"Average quality, neither too good nor too bad.",Neutral,Amazon,Sneha Rani,U0076
"The product is okay, works as described but nothing exceptional.",Neutral,Flipkart,Rahul Mehta,U0077
"Average quality, neither too good nor too bad.",Neutral,Flipkart,Anjali Kapoor,U0078
The color is slightly different from the pictures but still fine.,Neutral,Flipkart,Sneha Rani,U0079
Excellent build quality and fast performance.,Positive,Flipkart,Amit Verma,U0080
"Lightweight and easy to use, definitely worth the price.",Positive,Flipkart,Pooja Sethi,U0081
The color is slightly different from the pictures but still fine.,Neutral,Flipkart,Vikram Malhotra,U0082
"It's functional, but I have seen better options.",Neutral,Flipkart,Karan Singh,U0083
Customer service was unhelpful when I tried to return it.,Negative,Amazon,Pooja Sethi,U0084
"Poor quality material, not worth the price.",Negative,Amazon,Neha Gupta,U0085
The product exceeded my expectations in every way.,Positive,Amazon,Sneha Rani,U0086
Very slow and lags constantly.,Negative,Flipkart,Sneha Rani,U0087
"It's functional, but I have seen better options.",Neutral,Amazon,Vikram Malhotra,U0088
This phone’s battery lasts all day and the camera quality is stunning!,Positive,Flipkart,Neha Gupta,U0089
Excellent build quality and fast performance.,Positive,Flipkart,Priya Sharma,U0090
Very comfortable to wear and looks stylish.,Positive,Flipkart,Rahul Mehta,U0091
Customer service was unhelpful when I tried to return it.,Negative,Flipkart,Pooja Sethi,U0092
Excellent build quality and fast performance.,Positive,Amazon,Karan Singh,U0093
"Lightweight and easy to use, definitely worth the price.",Positive,Flipkart,Vikram Malhotra,U0094
"Packaging was fine, but delivery took longer than expected.",Neutral,Amazon,Karan Singh,U0095
The product arrived damaged and unusable.,Negative,Amazon,Pooja Sethi,U0096
"Packaging was fine, but delivery took longer than expected.",Neutral,Flipkart,Rahul Mehta,U0097
Completely disappointed — it stopped working after two days.,Negative,Amazon,Priya Sharma,U0098
This phone’s battery lasts all day and the camera quality is stunning!,Positive,Flipkart,Amit Verma,U0099
Very slow and lags constantly.,Negative,Amazon,Pooja Sethi,U0100
"It's functional, but I have seen better options.",Neutral,Amazon,Amit Verma,U0101
Excellent build quality and fast performance.,Positive,Amazon,Rohit Yadav,U0102
Very comfortable to wear and looks stylish.,Positive,Amazon,Karan Singh,U0103
"Lightweight and easy to use, definitely worth the price.",Positive,Flipkart,Amit Verma,U0104
Completely disappointed — it stopped working after two days.,Negative,Flipkart,Rohit Yadav,U0105
Very comfortable to wear and looks stylish.,Positive,Amazon,Priya Sharma,U0106
"It's functional, but I have seen better options.",Neutral,Flipkart,Pooja Sethi,U0107
"It's functional, but I have seen better options.",Neutral,Amazon,Rahul Mehta,U0108
Excellent build quality and fast performance.,Positive,Flipkart,Rahul Mehta,U0109
Customer service was unhelpful when I tried to return it.,Negative,Amazon,Sneha Rani,U0110
This phone’s battery lasts all day and the camera quality is stunning!,Positive,Flipkart,Neha Gupta,U0111
"It's functional, but I have seen better options.",Neutral,Flipkart,Rahul Mehta,U0112
The product exceeded my expectations in every way.,Positive,Flipkart,Anjali Kapoor,U0113
Very comfortable to wear and looks stylish.,Positive,Flipkart,Rohit Yadav,U0114
"Average quality, neither too good nor too bad.",Neutral,Flipkart,Rahul Mehta,U0115
Customer service was unhelpful when I tried to return it.,Negative,Flipkart,Vikram Malhotra,U0116
This phone’s battery lasts all day and the camera quality is stunning!,Positive,Flipkart,Sneha Rani,U0117
Completely disappointed — it stopped working after two days.,Negative,Amazon,Amit Verma,U0118
Very comfortable to wear and looks stylish.,Positive,Flipkart,Rohit Yadav,U0119
The color is slightly different from the pictures but still fine.,Neutral,Amazon,Anjali Kapoor,U0120
"Poor quality material, not worth the price.",Negative,Amazon,Priya Sharma,U0121
This phone’s battery lasts all day and the camera quality is stunning!,Positive,Amazon,Sneha Rani,U0122
Very comfortable to wear and looks stylish.,Positive,Flipkart,Rohit Yadav,U0123
Very slow and lags constantly.,Negative,Amazon,Pooja Sethi,U0124
This phone’s battery lasts all day and the camera quality is stunning!,Positive,Flipkart,Priya Sharma,U0125
Very comfortable to wear and looks stylish.,Positive,Flipkart,Vikram Malhotra,U0126
"Lightweight and easy to use, definitely worth the price.",Positive,Amazon,Anjali Kapoor,U0127
Completely disappointed — it stopped working after two days.,Negative,Amazon,Priya Sharma,U0128
"Poor quality material, not worth the price.",Negative,Flipkart,Rohit Yadav,U0129
The product exceeded my expectations in every way.,Positive,Amazon,Rahul Mehta,U0130
Very slow and lags constantly.,Negative,Amazon,Pooja Sethi,U0131
"Packaging was fine, but delivery took longer than expected.",Neutral,Flipkart,Rohit Yadav,U0132
"Poor quality material, not worth the price.",Negative,Flipkart,Neha Gupta,U0133
"The product is okay, works as described but nothing exceptional.",Neutral,Amazon,Neha Gupta,U0134
"Packaging was fine, but delivery took longer than expected.",Neutral,Flipkart,Anjali Kapoor,U0135
"Average quality, neither too good nor too bad.",Neutral,Flipkart,Priya Sharma,U0136
Completely disappointed — it stopped working after two days.,Negative,Flipkart,Sneha Rani,U0137
The product arrived damaged and unusable.,Negative,Amazon,Pooja Sethi,U0138
Customer service was unhelpful when I tried to return it.,Negative,Flipkart,Priya Sharma,U0139
"Poor quality material, not worth the price.",Negative,Flipkart,Neha Gupta,U0140
"Lightweight and easy to use, definitely worth the price.",Positive,Amazon,Amit Verma,U0141
"It's functional, but I have seen better options.",Neutral,Amazon,Amit Verma,U0142
"Lightweight and easy to use, definitely worth the price.",Positive,Flipkart,Rahul Mehta,U0143
"Packaging was fine, but delivery took longer than expected.",Neutral,Flipkart,Sneha Rani,U0144
The color is slightly different from the pictures but still fine.,Neutral,Flipkart,Rahul Mehta,U0145
This phone’s battery lasts all day and the camera quality is stunning!,Positive,Flipkart,Neha Gupta,U0146
This phone’s battery lasts all day and the camera quality is stunning!,Positive,Amazon,Rahul Mehta,U0147
The product arrived damaged and unusable.,Negative,Amazon,Anjali Kapoor,U0148
Very comfortable to wear and looks stylish.,Positive,Amazon,Anjali Kapoor,U0149
"Poor quality material, not worth the price.",Negative,Flipkart,Sneha Rani,U0150
Completely disappointed — it stopped working after two days.,Negative,Amazon,Pooja Sethi,U0151
"Average quality, neither too good nor too bad.",Neutral,Amazon,Rahul Mehta,U0152
"The product is okay, works as described but nothing exceptional.",Neutral,Flipkart,Neha Gupta,U0153
Excellent build quality and fast performance.,Positive,Flipkart,Sneha Rani,U0154
The color is slightly different from the pictures but still fine.,Neutral,Amazon,Rohit Yadav,U0155
"Lightweight and easy to use, definitely worth the price.",Positive,Amazon,Priya Sharma,U0156
Very slow and lags constantly.,Negative,Flipkart,Rahul Mehta,U0157
Customer service was unhelpful when I tried to return it.,Negative,Flipkart,Anjali Kapoor,U0158
"Average quality, neither too good nor too bad.",Neutral,Flipkart,Neha Gupta,U0159
"Lightweight and easy to use, definitely worth the price.",Positive,Amazon,Sneha Rani,U0160
This phone’s battery lasts all day and the camera quality is stunning!,Positive,Flipkart,Rohit Yadav,U0161
The product arrived damaged and unusable.,Negative,Amazon,Neha Gupta,U0162
"Average quality, neither too good nor too bad.",Neutral,Flipkart,Rahul Mehta,U0163
Customer service was unhelpful when I tried to return it.,Negative,Flipkart,Sneha Rani,U0164
Excellent build quality and fast performance.,Positive,Amazon,Rahul Mehta,U0165
"Packaging was fine, but delivery took longer than expected.",Neutral,Flipkart,Pooja Sethi,U0166
Completely disappointed — it stopped working after two days.,Negative,Amazon,Anjali Kapoor,U0167
Customer service was unhelpful when I tried to return it.,Negative,Amazon,Anjali Kapoor,U0168
Excellent build quality and fast performance.,Positive,Flipkart,Vikram Malhotra,U0169
"Average quality, neither too good nor too bad.",Neutral,Amazon,Neha Gupta,U0170
"Lightweight and easy to use, definitely worth the price.",Positive,Flipkart,Pooja Sethi,U0171
The product arrived damaged and unusable.,Negative,Amazon,Priya Sharma,U0172
Completely disappointed — it stopped working after two days.,Negative,Amazon,Rahul Mehta,U0173
The color is slightly different from the pictures but still fine.,Neutral,Flipkart,Neha Gupta,U0174
"The product is okay, works as described but nothing exceptional.",Neutral,Flipkart,Karan Singh,U0175
The product exceeded my expectations in every way.,Positive,Amazon,Priya Sharma,U0176
Very comfortable to wear and looks stylish.,Positive,Amazon,Anjali Kapoor,U0177
"Lightweight and easy to use, definitely worth the price.",Positive,Flipkart,Pooja Sethi,U0178
"It's functional, but I have seen better options.",Neutral,Amazon,Priya Sharma,U0179
The color is slightly different from the pictures but still fine.,Neutral,Amazon,Vikram Malhotra,U0180
The color is slightly different from the pictures but still fine.,Neutral,Flipkart,Karan Singh,U0181
The product exceeded my expectations in every way.,Positive,Amazon,Rahul Mehta,U0182
"Poor quality material, not worth the price.",Negative,Flipkart,Rohit Yadav,U0183
This phone’s battery lasts all day and the camera quality is stunning!,Positive,Amazon,Amit Verma,U0184
Completely disappointed — it stopped working after two days.,Negative,Amazon,Priya Sharma,U0185
The product arrived damaged and unusable.,Negative,Flipkart,Karan Singh,U0186
The color is slightly different from the pictures but still fine.,Neutral,Amazon,Rohit Yadav,U0187
Customer service was unhelpful when I tried to return it.,Negative,Amazon,Amit Verma,U0188
"The product is okay, works as described but nothing exceptional.",Neutral,Amazon,Priya Sharma,U0189
Very comfortable to wear and looks stylish.,Positive,Flipkart,Pooja Sethi,U0190
"Average quality, neither too good nor too bad.",Neutral,Flipkart,Priya Sharma,U0191
Very slow and lags constantly.,Negative,Amazon,Pooja Sethi,U0192
"It's functional, but I have seen better options.",Neutral,Flipkart,Sneha Rani,U0193
"Average quality, neither too good nor too bad.",Neutral,Flipkart,Pooja Sethi,U0194
"Packaging was fine, but delivery took longer than expected.",Neutral,Amazon,Pooja Sethi,U0195
Very comfortable to wear and looks stylish.,Positive,Amazon,Anjali Kapoor,U0196
Completely disappointed — it stopped working after two days.,Negative,Amazon,Amit Verma,U0197
This phone’s battery lasts all day and the camera quality is stunning!,Positive,Amazon,Rahul Mehta,U0198
"Average quality, neither too good nor too bad.",Neutral,Amazon,Neha Gupta,U0199
Excellent build quality and fast performance.,Positive,Amazon,Pooja Sethi,U0200
"Average quality, neither too good nor too bad.",Neutral,Flipkart,Sneha Rani,U0201
Very slow and lags constantly.,Negative,Amazon,Rahul Mehta,U0202
"Poor quality material, not worth the price.",Negative,Amazon,Priya Sharma,U0203
Very comfortable to wear and looks stylish.,Positive,Flipkart,Rahul Mehta,U0204
The product exceeded my expectations in every way.,Positive,Flipkart,Priya Sharma,U0205
This phone’s battery lasts all day and the camera quality is stunning!,Positive,Amazon,Pooja Sethi,U0206
"It's functional, but I have seen better options.",Neutral,Flipkart,Neha Gupta,U0207
The product arrived damaged and unusable.,Negative,Amazon,Karan Singh,U0208
"Average quality, neither too good nor too bad.",Neutral,Amazon,Karan Singh,U0209
"It's functional, but I have seen better options.",Neutral,Amazon,Vikram Malhotra,U0210
"Average quality, neither too good nor too bad.",Neutral,Flipkart,Anjali Kapoor,U0211
"Lightweight and easy to use, definitely worth the price.",Positive,Flipkart,Sneha Rani,U0212
Completely disappointed — it stopped working after two days.,Negative,Amazon,Neha Gupta,U0213
"Packaging was fine, but delivery took longer than expected.",Neutral,Flipkart,Rahul Mehta,U0214
"Lightweight and easy to use, definitely worth the price.",Positive,Flipkart,Neha Gupta,U0215
This phone’s battery lasts all day and the camera quality is stunning!,Positive,Flipkart,Rohit Yadav,U0216
Completely disappointed — it stopped working after two days.,Negative,Flipkart,Pooja Sethi,U0217
The product arrived damaged and unusable.,Negative,Flipkart,Karan Singh,U0218
Completely disappointed — it stopped working after two days.,Negative,Flipkart,Sneha Rani,U0219
"Packaging was fine, but delivery took longer than expected.",Neutral,Flipkart,Pooja Sethi,U0220
The product arrived damaged and unusable.,Negative,Flipkart,Neha Gupta,U0221
"The product is okay, works as described but nothing exceptional.",Neutral,Flipkart,Anjali Kapoor,U0222
The product exceeded my expectations in every way.,Positive,Flipkart,Priya Sharma,U0223
The color is slightly different from the pictures but still fine.,Neutral,Amazon,Pooja Sethi,U0224
Customer service was unhelpful when I tried to return it.,Negative,Flipkart,Sneha Rani,U0225
The color is slightly different from the pictures but still fine.,Neutral,Amazon,Pooja Sethi,U0226
The product arrived damaged and unusable.,Negative,Amazon,Rohit Yadav,U0227
"It's functional, but I have seen better options.",Neutral,Amazon,Anjali Kapoor,U0228
"Poor quality material, not worth the price.",Negative,Amazon,Rahul Mehta,U0229
Excellent build quality and fast performance.,Positive,Flipkart,Pooja Sethi,U0230
"Average quality, neither too good nor too bad.",Neutral,Flipkart,Pooja Sethi,U0231
Very comfortable to wear and looks stylish.,Positive,Flipkart,Anjali Kapoor,U0232
Completely disappointed — it stopped working after two days.,Negative,Flipkart,Rahul Mehta,U0233
"Poor quality material, not worth the price.",Negative,Amazon,Rohit Yadav,U0234
"The product is okay, works as described but nothing exceptional.",Neutral,Flipkart,Karan Singh,U0235
Excellent build quality and fast performance.,Positive,Amazon,Sneha Rani,U0236
"It's functional, but I have seen better options.",Neutral,Amazon,Vikram Malhotra,U0237
This phone’s battery lasts all day and the camera quality is stunning!,Positive,Amazon,Anjali Kapoor,U0238
Excellent build quality and fast performance.,Positive,Flipkart,Karan Singh,U0239
The color is slightly different from the pictures but still fine.,Neutral,Flipkart,Anjali Kapoor,U0240
Excellent build quality and fast performance.,Positive,Amazon,Priya Sharma,U0241
The product arrived damaged and unusable.,Negative,Amazon,Rahul Mehta,U0242
Customer service was unhelpful when I tried to return it.,Negative,Amazon,Rahul Mehta,U0243
"Lightweight and easy to use, definitely worth the price.",Positive,Amazon,Sneha Rani,U0244
"Packaging was fine, but delivery took longer than expected.",Neutral,Amazon,Rahul Mehta,U0245
"Poor quality material, not worth the price.",Negative,Flipkart,Karan Singh,U0246
The color is slightly different from the pictures but still fine.,Neutral,Amazon,Pooja Sethi,U0247
Customer service was unhelpful when I tried to return it.,Negative,Flipkart,Amit Verma,U0248
Very comfortable to wear and looks stylish.,Positive,Flipkart,Amit Verma,U0249
"It's functional, but I have seen better options.",Neutral,Amazon,Sneha Rani,U0250
"Average quality, neither too good nor too bad.",Neutral,Flipkart,Karan Singh,U0251
"It's functional, but I have seen better options.",Neutral,Flipkart,Neha Gupta,U0252
The product exceeded my expectations in every way.,Positive,Amazon,Karan Singh,U0253
"Packaging was fine, but delivery took longer than expected.",Neutral,Amazon,Amit Verma,U0254
The product arrived damaged and unusable.,Negative,Amazon,Anjali Kapoor,U0255
This phone’s battery lasts all day and the camera quality is stunning!,Positive,Amazon,Priya Sharma,U0256
Very slow and lags constantly.,Negative,Flipkart,Sneha Rani,U0257
Completely disappointed — it stopped working after two days.,Negative,Amazon,Rohit Yadav,U0258
The product exceeded my expectations in every way.,Positive,Amazon,Sneha Rani,U0259
"Average quality, neither too good nor too bad.",Neutral,Flipkart,Pooja Sethi,U0260
"The product is okay, works as described but nothing exceptional.",Neutral,Amazon,Priya Sharma,U0261
"Packaging was fine, but delivery took longer than expected.",Neutral,Flipkart,Neha Gupta,U0262
"Average quality, neither too good nor too bad.",Neutral,Flipkart,Vikram Malhotra,U0263
The product exceeded my expectations in every way.,Positive,Amazon,Rohit Yadav,U0264
The color is slightly different from the pictures but still fine.,Neutral,Amazon,Priya Sharma,U0265
The product exceeded my expectations in every way.,Positive,Amazon,Karan Singh,U0266
"Poor quality material, not worth the price.",Negative,Amazon,Vikram Malhotra,U0267
"Poor quality material, not worth the price.",Negative,Amazon,Priya Sharma,U0268
The product arrived damaged and unusable.,Negative,Amazon,Pooja Sethi,U0269
Very slow and lags constantly.,Negative,Flipkart,Anjali Kapoor,U0270
The product exceeded my expectations in every way.,Positive,Amazon,Amit Verma,U0271
"The product is okay, works as described but nothing exceptional.",Neutral,Amazon,Sneha Rani,U0272
"Average quality, neither too good nor too bad.",Neutral,Amazon,Anjali Kapoor,U0273
Excellent build quality and fast performance.,Positive,Flipkart,Karan Singh,U0274
This phone’s battery lasts all day and the camera quality is stunning!,Positive,Amazon,Neha Gupta,U0275
Very comfortable to wear and looks stylish.,Positive,Amazon,Anjali Kapoor,U0276
This phone’s battery lasts all day and the camera quality is stunning!,Positive,Flipkart,Anjali Kapoor,U0277
Very comfortable to wear and looks stylish.,Positive,Flipkart,Amit Verma,U0278
The product exceeded my expectations in every way.,Positive,Flipkart,Karan Singh,U0279
Very slow and lags constantly.,Negative,Flipkart,Pooja Sethi,U0280
"Poor quality material, not worth the price.",Negative,Amazon,Priya Sharma,U0281
"The product is okay, works as described but nothing exceptional.",Neutral,Amazon,Karan Singh,U0282
"The product is okay, works as described but nothing exceptional.",Neutral,Flipkart,Neha Gupta,U0283
"It's functional, but I have seen better options.",Neutral,Flipkart,Pooja Sethi,U0284
"Lightweight and easy to use, definitely worth the price.",Positive,Flipkart,Rohit Yadav,U0285
"Poor quality material, not worth the price.",Negative,Flipkart,Anjali Kapoor,U0286
"Poor quality material, not worth the price.",Negative,Amazon,Karan Singh,U0287
"Poor quality material, not worth the price.",Negative,Flipkart,Vikram Malhotra,U0288
This phone’s battery lasts all day and the camera quality is stunning!,Positive,Flipkart,Neha Gupta,U0289
The product exceeded my expectations in every way.,Positive,Amazon,Sneha Rani,U0290
This phone’s battery lasts all day and the camera quality is stunning!,Positive,Amazon,Sneha Rani,U0291
"Lightweight and easy to use, definitely worth the price.",Positive,Amazon,Rohit Yadav,U0292
Excellent build quality and fast performance.,Positive,Amazon,Priya Sharma,U0293
"Average quality, neither too good nor too bad.",Neutral,Amazon,Rahul Mehta,U0294
Very slow and lags constantly.,Negative,Flipkart,Anjali Kapoor,U0295
"Lightweight and easy to use, definitely worth the price.",Positive,Amazon,Rohit Yadav,U0296
The color is slightly different from the pictures but still fine.,Neutral,Amazon,Pooja Sethi,U0297
"The product is okay, works as described but nothing exceptional.",Neutral,Flipkart,Amit Verma,U0298
"Packaging was fine, but delivery took longer than expected.",Neutral,Amazon,Karan Singh,U0299
The product exceeded my expectations in every way.,Positive,Flipkart,Neha Gupta,U0300
"Lightweight and easy to use, definitely worth the price.",Positive,Flipkart,Amit Verma,U0301
The product exceeded my expectations in every way.,Positive,Flipkart,Rohit Yadav,U0302
"Lightweight and easy to use, definitely worth the price.",Positive,Flipkart,Sneha Rani,U0303
Completely disappointed — it stopped working after two days.,Negative,Flipkart,Neha Gupta,U0304
Excellent build quality and fast performance.,Positive,Flipkart,Vikram Malhotra,U0305
Completely disappointed — it stopped working after two days.,Negative,Amazon,Karan Singh,U0306
The product exceeded my expectations in every way.,Positive,Amazon,Karan Singh,U0307
Excellent build quality and fast performance.,Positive,Amazon,Amit Verma,U0308
"Poor quality material, not worth the price.",Negative,Amazon,Anjali Kapoor,U0309
"The product is okay, works as described but nothing exceptional.",Neutral,Amazon,Vikram Malhotra,U0310
"Packaging was fine, but delivery took longer than expected.",Neutral,Flipkart,Sneha Rani,U0311
Completely disappointed — it stopped working after two days.,Negative,Amazon,Priya Sharma,U0312
Customer service was unhelpful when I tried to return it.,Negative,Flipkart,Sneha Rani,U0313
Completely disappointed — it stopped working after two days.,Negative,Flipkart,Karan Singh,U0314
Completely disappointed — it stopped working after two days.,Negative,Flipkart,Karan Singh,U0315
This phone’s battery lasts all day and the camera quality is stunning!,Positive,Flipkart,Amit Verma,U0316
Excellent build quality and fast performance.,Positive,Amazon,Sneha Rani,U0317
Very comfortable to wear and looks stylish.,Positive,Amazon,Rahul Mehta,U0318
"Lightweight and easy to use, definitely worth the price.",Positive,Amazon,Rohit Yadav,U0319
Very slow and lags constantly.,Negative,Flipkart,Sneha Rani,U0320
"Poor quality material, not worth the price.",Negative,Amazon,Amit Verma,U0321
Very comfortable to wear and looks stylish.,Positive,Amazon,Karan Singh,U0322
Completely disappointed — it stopped working after two days.,Negative,Amazon,Amit Verma,U0323
"The product is okay, works as described but nothing exceptional.",Neutral,Amazon,Anjali Kapoor,U0324
"Average quality, neither too good nor too bad.",Neutral,Flipkart,Rahul Mehta,U0325
The color is slightly different from the pictures but still fine.,Neutral,Flipkart,Amit Verma,U0326
Excellent build quality and fast performance.,Positive,Flipkart,Amit Verma,U0327
Customer service was unhelpful when I tried to return it.,Negative,Amazon,Vikram Malhotra,U0328
"Packaging was fine, but delivery took longer than expected.",Neutral,Amazon,Pooja Sethi,U0329
"Packaging was fine, but delivery took longer than expected.",Neutral,Flipkart,Anjali Kapoor,U0330
"Average quality, neither too good nor too bad.",Neutral,Flipkart,Vikram Malhotra,U0331
"Poor quality material, not worth the price.",Negative,Amazon,Karan Singh,U0332
The product exceeded my expectations in every way.,Positive,Flipkart,Vikram Malhotra,U0333
"Packaging was fine, but delivery took longer than expected.",Neutral,Flipkart,Neha Gupta,U0334
The product exceeded my expectations in every way.,Positive,Amazon,Vikram Malhotra,U0335
The product arrived damaged and unusable.,Negative,Flipkart,Priya Sharma,U0336
This phone’s battery lasts all day and the camera quality is stunning!,Positive,Flipkart,Vikram Malhotra,U0337
The product exceeded my expectations in every way.,Positive,Flipkart,Sneha Rani,U0338
"Average quality, neither too good nor too bad.",Neutral,Flipkart,Pooja Sethi,U0339
"It's functional, but I have seen better options.",Neutral,Amazon,Rohit Yadav,U0340
"Lightweight and easy to use, definitely worth the price.",Positive,Flipkart,Amit Verma,U0341
"Average quality, neither too good nor too bad.",Neutral,Amazon,Vikram Malhotra,U0342
"Average quality, neither too good nor too bad.",Neutral,Flipkart,Vikram Malhotra,U0343
The product arrived damaged and unusable.,Negative,Amazon,Anjali Kapoor,U0344
"It's functional, but I have seen better options.",Neutral,Flipkart,Vikram Malhotra,U0345
Excellent build quality and fast performance.,Positive,Flipkart,Rohit Yadav,U0346
Very comfortable to wear and looks stylish.,Positive,Amazon,Anjali Kapoor,U0347
"It's functional, but I have seen better options.",Neutral,Flipkart,Pooja Sethi,U0348
"Poor quality material, not worth the price.",Negative,Flipkart,Sneha Rani,U0349
Excellent build quality and fast performance.,Positive,Flipkart,Vikram Malhotra,U0350
